temperature,city,pression,date
280.54,Paris,1017,2026-02-17 11:04
278.85,London,1016,2026-02-17 11:04
271.84,Washington,994,2026-02-17 11:04
280.54,Paris,1017,2026-02-17 11:00
278.69,London,1016,2026-02-17 11:00
271.84,Washington,994,2026-02-17 11:00
280.54,Paris,1017,2026-02-17 10:59
278.69,London,1016,2026-02-17 10:59
271.84,Washington,994,2026-02-17 10:59
280.38,Paris,1016,2026-02-17 10:15
278.3,London,1014,2026-02-17 10:15
272.13,Washington,992,2026-02-17 10:15
279.98,Paris,1016,2026-02-17 10:00
277.65,London,1015,2026-02-17 10:00
272.42,Washington,993,2026-02-17 10:00
279.89,Paris,1016,2026-02-17 09:48
277.59,London,1015,2026-02-17 09:48
272.42,Washington,993,2026-02-17 09:48
279.89,Paris,1016,2026-02-17 09:45
277.59,London,1015,2026-02-17 09:45
272.42,Washington,993,2026-02-17 09:45
279.73,Paris,1015,2026-02-17 09:07
276.87,London,1014,2026-02-17 09:07
272.35,Washington,992,2026-02-17 09:07
279.73,Paris,1015,2026-02-17 09:06
276.78,London,1014,2026-02-17 09:06
272.35,Washington,992,2026-02-17 09:06
279.67,Paris,1015,2026-02-17 09:00
276.71,London,1014,2026-02-17 09:00
272.13,Washington,993,2026-02-17 09:00
279.67,Paris,1015,2026-02-17 08:57
276.71,London,1014,2026-02-17 08:57
272.13,Washington,993,2026-02-17 08:57
279.67,Paris,1015,2026-02-17 08:55
276.71,London,1014,2026-02-17 08:55
272.13,Washington,993,2026-02-17 08:55
279.67,Paris,1015,2026-02-17 08:49
276.3,London,1014,2026-02-17 08:49
272.16,Washington,993,2026-02-17 08:49
279.31,Paris,1015,2026-02-17 08:38
276.24,London,1014,2026-02-17 08:38
272.24,Washington,993,2026-02-17 08:38
279.31,Paris,1015,2026-02-17 08:37
276.24,London,1014,2026-02-17 08:37
272.24,Washington,993,2026-02-17 08:37
279.31,Paris,1015,2026-02-17 08:34
276.24,London,1014,2026-02-17 08:34
272.24,Washington,993,2026-02-17 08:34
279.22,Paris,1014,2026-02-17 08:14
275.96,London,1013,2026-02-17 08:14
272.19,Washington,992,2026-02-17 08:14
279.22,Paris,1014,2026-02-17 08:13
275.96,London,1013,2026-02-17 08:13
272.19,Washington,992,2026-02-17 08:13
279.13,Paris,1014,2026-02-17 08:07
275.79,London,1013,2026-02-17 08:07
272.39,Washington,992,2026-02-17 08:07
